order_id,customer_id,customer_name,product,quantity,order_date,store_location,unit_price,total_price
10046,976,James Jones,Printer,4,2024-10-30,Calgary,180,720
10047,1807,David Jones,Bluetooth Speaker,4,2024-12-05,Toronto,150,600
10048,190,John Garcia,Bluetooth Speaker,1,2025-03-23,Montreal,150,150
10049,958,John Williams,Smartwatch,2,2024-10-28,Montreal,200,400
10050,687,Daniel Wilson,Printer,3,2025-06-23,Calgary,180,540
10051,958,David Williams,Mouse,4,2025-04-29,Calgary,30,120
10052,563,Alex Brown,Smartwatch,4,2024-03-17,Ottawa,200,800
10053,1900,David Taylor,Smartwatch,2,2025-09-24,Ottawa,200,400
10054,1591,John Jones,Smartphone,3,2025-05-29,Toronto,600,1800
10055,1268,Linda Davis,Printer,4,2025-07-02,Montreal,180,720
10056,832,Daniel Brown,Headphones,3,2025-10-20,Vancouver,120,360
10057,1529,Mary Brown,Smartwatch,4,2024-04-01,Vancouver,200,800
10058,1155,Daniel Davis,Keyboard,1,2025-04-10,Montreal,45,45
10059,1509,Daniel Johnson,External Hard Drive,1,2025-04-10,Toronto,95,95
10060,1843,David Williams,Mouse,3,2025-08-21,Ottawa,30,90
10061,647,Mary Wilson,Mouse,2,2024-02-09,Ottawa,30,60
10062,21,Daniel Miller,Smartwatch,2,2025-11-20,Ottawa,200,400
10063,841,Linda Garcia,Keyboard,1,2024-11-24,Vancouver,45,45
10064,167,Linda Smith,External Hard Drive,2,2024-10-11,Vancouver,95,190
10065,1298,Sarah Davis,Laptop,2,2025-07-07,Toronto,850,1700
10066,388,Mary Wilson,Monitor,2,2024-03-06,Vancouver,300,600
10067,601,Sophia Garcia,Monitor,3,2025-09-27,Calgary,300,900
10068,316,James Williams,Monitor,3,2025-10-18,Vancouver,300,900
10069,14,Mary Brown,Smartphone,2,2025-09-23,Ottawa,600,1200
10070,242,Linda Jones,Mouse,1,2024-04-18,Toronto,30,30
10071,777,Sophia Miller,Bluetooth Speaker,2,2025-02-18,Montreal,150,300
10072,1370,Linda Smith,Bluetooth Speaker,4,2024-04-01,Montreal,150,600
10073,565,Sarah Jones,Smartphone,1,2025-01-02,Toronto,600,600
10074,898,Alex Wilson,Smartwatch,3,2025-02-26,Calgary,200,600
10075,1364,John Miller,Printer,4,2025-07-25,Montreal,180,720
10076,92,Linda Taylor,Printer,2,2024-08-27,Ottawa,180,360
10077,1391,David Jones,Monitor,2,2025-03-10,Montreal,300,600
10078,956,Emma Jones,Printer,1,2024-07-30,Montreal,180,180
10079,1479,Linda Garcia,Smartwatch,1,2025-02-03,Ottawa,200,200
10080,1452,Mary Miller,Laptop,2,2025-09-01,Vancouver,850,1700
10081,509,John Williams,Smartphone,2,2025-06-09,Calgary,600,1200
10082,776,Emma Brown,Laptop,1,2025-12-30,Ottawa,850,850
10083,1967,Daniel Brown,Mouse,4,2025-04-12,Ottawa,30,120
10084,35,Linda Smith,Printer,3,2024-06-18,Toronto,180,540
10085,206,Linda Williams,External Hard Drive,1,2024-07-28,Calgary,95,95
10086,1105,Sophia Wilson,Monitor,4,2024-09-12,Vancouver,300,1200
10087,1956,Sarah Taylor,Smartphone,2,2025-11-13,Ottawa,600,1200
10088,1586,Emma Miller,Monitor,3,2024-03-13,Vancouver,300,900
10089,1896,John Williams,Printer,4,2024-05-26,Ottawa,180,720
10090,1412,James Smith,Headphones,3,2024-12-05,Ottawa,120,360
10091,1026,Sophia Taylor,Printer,3,2024-11-12,Toronto,180,540
10092,1022,Linda Jones,Smartphone,3,2025-09-09,Montreal,600,1800
10093,1414,Emma Wilson,Bluetooth Speaker,4,2025-08-28,Calgary,150,600
10094,566,Mary Jones,Smartphone,4,2025-07-28,Toronto,600,2400
10095,1130,Linda Davis,Keyboard,2,2024-06-02,Vancouver,45,90
10096,1796,David Wilson,External Hard Drive,3,2024-09-11,Ottawa,95,285
10097,1846,John Davis,Printer,1,2024-12-16,Ottawa,180,180
10098,1501,Emma Davis,Keyboard,1,2025-06-30,Calgary,45,45
10099,703,Sarah Wilson,Bluetooth Speaker,1,2024-11-07,Toronto,150,150
10100,402,David Williams,Smartwatch,4,2025-10-30,Toronto,200,800
10101,730,James Williams,Smartwatch,2,2024-05-13,Vancouver,200,400
10102,1580,Alex Wilson,External Hard Drive,4,2024-05-08,Toronto,95,380
10103,162,Sophia Smith,Mouse,3,2025-03-11,Toronto,30,90
10104,202,James Wilson,External Hard Drive,1,2024-10-06,Montreal,95,95
10105,1982,Sophia Garcia,External Hard Drive,4,2024-12-23,Calgary,95,380
10106,996,Linda Williams,External Hard Drive,1,2024-09-08,Toronto,95,95
10107,270,Sophia Brown,External Hard Drive,4,2024-05-14,Vancouver,95,380
10108,1887,Daniel Johnson,External Hard Drive,1,2025-06-06,Ottawa,95,95
10109,816,Mary Davis,Laptop,3,2025-10-21,Toronto,850,2550
10110,1295,Emma Williams,Bluetooth Speaker,1,2024-11-14,Toronto,150,150
10111,456,Emma Garcia,Smartphone,3,2024-03-20,Ottawa,600,1800
10112,1486,Daniel Davis,Printer,3,2024-07-09,Montreal,180,540
10113,1751,David Garcia,Keyboard,4,2025-03-28,Calgary,45,180
10114,1276,Sarah Johnson,External Hard Drive,4,2024-12-09,Montreal,95,380
10115,1017,Linda Wilson,Mouse,4,2024-01-30,Vancouver,30,120
10116,1726,John Taylor,Monitor,3,2025-02-17,Toronto,300,900
10117,296,James Taylor,Printer,2,2025-01-02,Montreal,180,360
10118,1749,Daniel Taylor,Monitor,2,2025-08-18,Calgary,300,600
10119,720,Daniel Taylor,Keyboard,3,2025-05-16,Vancouver,45,135
10120,1773,Alex Jones,Keyboard,3,2025-10-23,Montreal,45,135
10121,338,Sophia Garcia,Printer,4,2025-12-01,Toronto,180,720
10122,879,Sarah Smith,Mouse,4,2024-01-21,Calgary,30,120
10123,1077,John Williams,Laptop,4,2025-07-02,Toronto,850,3400
10124,792,Linda Garcia,Smartwatch,2,2024-09-02,Toronto,200,400
10125,1946,Linda Wilson,Keyboard,2,2024-10-09,Vancouver,45,90
10126,217,Daniel Johnson,Mouse,3,2025-09-05,Calgary,30,90
10127,764,Emma Smith,Keyboard,2,2024-08-19,Ottawa,45,90
10128,188,Mary Jones,Headphones,4,2024-11-11,Toronto,120,480
10129,380,Sarah Williams,Smartwatch,4,2024-12-01,Calgary,200,800
10130,493,Daniel Garcia,Keyboard,4,2025-02-14,Toronto,45,180
10131,1065,Linda Smith,Mouse,4,2024-09-01,Montreal,30,120
10132,1181,Mary Miller,Keyboard,4,2025-01-21,Montreal,45,180
10133,15,Mary Taylor,Monitor,1,2025-11-19,Calgary,300,300
10134,1837,David Jones,Printer,3,2025-12-25,Vancouver,180,540
10135,65,Linda Miller,Printer,3,2024-12-23,Ottawa,180,540
10136,1881,Linda Johnson,Keyboard,2,2025-09-05,Montreal,45,90
10137,1863,Emma Brown,Mouse,4,2024-01-22,Vancouver,30,120
10138,521,Linda Garcia,Monitor,1,2024-01-19,Ottawa,300,300
10139,1368,John Smith,Laptop,4,2024-10-13,Montreal,850,3400
10140,1153,Mary Miller,Laptop,4,2024-10-02,Ottawa,850,3400
10141,648,Daniel Williams,Monitor,2,2025-10-20,Toronto,300,600
10142,1496,Alex Garcia,Smartphone,1,2025-07-05,Calgary,600,600
10143,1087,Emma Wilson,Mouse,1,2025-11-09,Montreal,30,30
10144,1163,David Wilson,Laptop,3,2025-08-25,Montreal,850,2550
10145,1523,Mary Brown,Smartphone,4,2024-03-12,Toronto,600,2400
10146,593,James Davis,Mouse,1,2024-12-30,Montreal,30,30
10147,392,Linda Miller,Monitor,3,2024-11-30,Montreal,300,900
10148,1699,Mary Taylor,External Hard Drive,1,2025-10-13,Montreal,95,95
10149,419,Linda Williams,Smartphone,4,2025-08-12,Montreal,600,2400
10150,289,Alex Johnson,Smartphone,3,2024-07-17,Montreal,600,1800
10151,379,John Jones,Keyboard,1,2024-01-17,Vancouver,45,45
10152,1797,Mary Johnson,Bluetooth Speaker,2,2024-08-05,Montreal,150,300
10153,1514,James Garcia,Bluetooth Speaker,1,2025-10-11,Toronto,150,150
10154,231,Emma Garcia,Mouse,4,2024-05-26,Montreal,30,120
10155,1018,Sarah Smith,Keyboard,2,2024-07-28,Ottawa,45,90
10156,41,James Smith,Printer,1,2025-10-31,Ottawa,180,180
10157,1052,Sarah Garcia,Smartwatch,1,2025-02-17,Toronto,200,200
10158,135,Mary Miller,External Hard Drive,3,2025-10-26,Vancouver,95,285
10159,201,Linda Wilson,Smartwatch,4,2024-11-25,Toronto,200,800
10160,1864,David Taylor,Smartphone,1,2024-12-17,Vancouver,600,600
10161,780,Sarah Jones,Headphones,1,2024-06-11,Calgary,120,120
10162,930,Emma Jones,Laptop,1,2024-04-10,Ottawa,850,850
10163,1057,Sophia Taylor,Laptop,4,2024-11-22,Ottawa,850,3400
10164,1072,Sophia Johnson,Keyboard,2,2024-11-22,Ottawa,45,90
10165,503,James Garcia,Bluetooth Speaker,4,2024-06-03,Vancouver,150,600
10166,407,Linda Jones,Headphones,3,2024-01-10,Toronto,120,360
10167,1598,Daniel Brown,Keyboard,3,2024-12-18,Vancouver,45,135
10168,1752,Emma Williams,Smartphone,4,2024-07-01,Ottawa,600,2400
10169,805,Daniel Miller,Headphones,1,2025-03-30,Ottawa,120,120
10170,99,Sophia Davis,Laptop,1,2025-10-07,Ottawa,850,850
10171,684,Mary Brown,Mouse,2,2024-01-06,Ottawa,30,60
10172,1896,John Wilson,Smartphone,4,2024-11-28,Calgary,600,2400
10173,726,James Smith,Keyboard,4,2024-11-28,Ottawa,45,180
10174,1571,Alex Williams,Printer,1,2024-09-14,Vancouver,180,180
10175,961,Sarah Jones,Monitor,3,2024-07-29,Ottawa,300,900
10176,1763,Alex Brown,Smartphone,3,2024-02-20,Montreal,600,1800
10177,613,John Davis,Smartphone,2,2025-03-20,Calgary,600,1200
10178,1967,Emma Smith,Printer,2,2025-10-20,Ottawa,180,360
10179,1486,Mary Williams,External Hard Drive,3,2025-01-11,Montreal,95,285
10180,643,Sarah Jones,Mouse,4,2025-10-01,Vancouver,30,120
10181,1793,Mary Williams,Printer,2,2025-04-30,Calgary,180,360
10182,1029,John Johnson,Smartwatch,1,2024-02-20,Ottawa,200,200
10183,1242,John Taylor,Smartwatch,4,2024-06-02,Vancouver,200,800
10184,503,Emma Williams,Smartphone,1,2025-08-04,Montreal,600,600
10185,767,Sarah Davis,External Hard Drive,2,2024-11-05,Calgary,95,190
10186,398,Emma Wilson,Laptop,3,2025-02-02,Ottawa,850,2550
10187,871,Daniel Jones,External Hard Drive,2,2024-05-13,Vancouver,95,190
10188,795,Emma Smith,Smartwatch,3,2024-08-07,Calgary,200,600
10189,393,John Miller,External Hard Drive,4,2024-06-11,Montreal,95,380
10190,207,Mary Garcia,External Hard Drive,2,2025-10-09,Ottawa,95,190
10191,1039,Daniel Williams,Mouse,2,2025-07-22,Calgary,30,60
10192,1882,David Garcia,Smartphone,2,2025-05-16,Montreal,600,1200
10193,1578,Alex Jones,Mouse,4,2025-11-19,Montreal,30,120
10194,892,Alex Taylor,Laptop,1,2024-04-24,Vancouver,850,850
10195,1485,Alex Brown,Laptop,1,2025-05-13,Montreal,850,850
10196,1715,James Davis,Smartwatch,3,2025-04-16,Montreal,200,600
10197,1599,James Taylor,Keyboard,2,2024-05-28,Toronto,45,90
10198,864,Sophia Jones,Printer,1,2024-08-28,Montreal,180,180
10199,743,David Williams,Bluetooth Speaker,4,2024-05-02,Ottawa,150,600
10200,1265,James Taylor,Smartphone,2,2024-03-09,Calgary,600,1200
10201,564,Sarah Johnson,Keyboard,3,2024-03-03,Ottawa,45,135
10202,1021,Sarah Garcia,Smartphone,1,2024-01-16,Ottawa,600,600
10203,96,Daniel Brown,Printer,4,2025-01-24,Vancouver,180,720
10204,1924,James Wilson,Printer,4,2025-08-12,Toronto,180,720
10205,1758,Sarah Taylor,Headphones,3,2025-09-25,Toronto,120,360
10206,485,Alex Jones,Mouse,1,2024-09-14,Ottawa,30,30
10207,1431,John Brown,Smartwatch,2,2024-08-04,Calgary,200,400
10208,231,Sophia Garcia,Headphones,4,2025-04-23,Toronto,120,480
10209,749,Sarah Johnson,Laptop,3,2024-04-23,Toronto,850,2550
10210,1679,Sophia Garcia,Bluetooth Speaker,4,2025-01-14,Ottawa,150,600
10211,1195,Emma Williams,Smartwatch,4,2025-10-19,Toronto,200,800
10212,541,Alex Johnson,Laptop,1,2024-08-24,Vancouver,850,850
10213,1060,Daniel Smith,External Hard Drive,1,2025-04-20,Ottawa,95,95
10214,525,James Jones,Mouse,2,2025-08-20,Toronto,30,60
10215,1184,Sophia Williams,Mouse,4,2025-11-09,Toronto,30,120
10216,1863,James Jones,Mouse,3,2024-05-08,Toronto,30,90
10217,1723,David Wilson,Headphones,4,2025-05-24,Ottawa,120,480
10218,1267,Daniel Wilson,Monitor,3,2024-06-13,Calgary,300,900
10219,1110,Linda Miller,Keyboard,4,2024-10-03,Montreal,45,180
10220,1820,David Wilson,Printer,3,2024-09-13,Toronto,180,540
10221,578,Emma Garcia,Bluetooth Speaker,4,2024-05-11,Montreal,150,600
10222,682,James Davis,Printer,4,2025-07-23,Montreal,180,720
10223,557,Linda Jones,Monitor,2,2024-09-13,Toronto,300,600
10224,1598,Sarah Brown,External Hard Drive,1,2024-05-20,Toronto,95,95
10225,1977,Alex Miller,External Hard Drive,1,2025-11-16,Montreal,95,95
10226,1013,Sarah Miller,External Hard Drive,3,2025-11-17,Calgary,95,285
10227,646,Alex Williams,Smartwatch,4,2024-07-27,Montreal,200,800
10228,796,Daniel Jones,Laptop,4,2025-12-16,Calgary,850,3400
10229,1052,James Taylor,Laptop,1,2025-06-02,Vancouver,850,850
10230,1644,Mary Jones,External Hard Drive,3,2024-02-20,Calgary,95,285
10231,1580,Daniel Brown,Bluetooth Speaker,2,2025-05-17,Ottawa,150,300
10232,1364,Daniel Miller,Headphones,2,2024-09-15,Toronto,120,240
10233,1822,Sarah Davis,Bluetooth Speaker,2,2024-06-26,Vancouver,150,300
10234,1982,Sophia Miller,Bluetooth Speaker,4,2025-06-26,Montreal,150,600
10235,1355,David Miller,Laptop,3,2024-12-21,Calgary,850,2550
10236,1664,David Garcia,Mouse,1,2024-11-13,Vancouver,30,30
10237,1530,John Davis,Bluetooth Speaker,4,2025-10-27,Ottawa,150,600
10238,1372,Emma Taylor,Bluetooth Speaker,4,2024-12-29,Calgary,150,600
10239,1497,Mary Wilson,Printer,2,2024-02-24,Montreal,180,360
10240,1255,John Taylor,Mouse,3,2024-06-04,Montreal,30,90
10241,190,Linda Wilson,Laptop,3,2024-02-13,Calgary,850,2550
10242,1249,John Williams,Headphones,2,2025-08-15,Ottawa,120,240
10243,1409,Sarah Wilson,Keyboard,2,2025-11-08,Toronto,45,90
10244,1401,David Jones,Laptop,2,2025-06-25,Toronto,850,1700
10245,1307,Linda Smith,Laptop,4,2024-11-17,Montreal,850,3400
10246,1982,John Wilson,Bluetooth Speaker,4,2025-10-09,Ottawa,150,600
10247,633,Alex Williams,Printer,4,2024-01-14,Montreal,180,720
10248,628,John Wilson,Monitor,1,2024-12-22,Toronto,300,300
10249,973,Sophia Johnson,External Hard Drive,1,2025-04-27,Montreal,95,95
10250,1769,Sophia Davis,Smartphone,3,2025-09-09,Calgary,600,1800
10251,1283,Linda Smith,Printer,2,2024-12-24,Calgary,180,360
10252,1383,James Taylor,Monitor,2,2024-11-13,Ottawa,300,600
10253,710,James Wilson,Bluetooth Speaker,4,2024-03-15,Toronto,150,600
10254,1480,John Johnson,Bluetooth Speaker,1,2025-08-13,Ottawa,150,150
10255,1435,Daniel Wilson,Headphones,2,2024-07-12,Ottawa,120,240
10256,649,Linda Miller,Monitor,3,2024-12-28,Toronto,300,900
10257,318,Sarah Williams,Smartwatch,2,2024-04-05,Vancouver,200,400
10258,1701,David Brown,External Hard Drive,4,2024-02-09,Vancouver,95,380
10259,1249,John Smith,Smartphone,4,2025-01-31,Montreal,600,2400
10260,1843,James Smith,Headphones,1,2024-04-16,Vancouver,120,120
10261,1258,John Brown,Printer,3,2024-01-17,Calgary,180,540
10262,684,Emma Williams,Printer,3,2025-06-10,Ottawa,180,540
10263,664,Sarah Johnson,Monitor,2,2025-05-13,Montreal,300,600
10264,1999,John Brown,External Hard Drive,3,2025-06-08,Ottawa,95,285
10265,1851,Sarah Brown,External Hard Drive,2,2025-12-26,Toronto,95,190
10266,1398,Sophia Taylor,Printer,2,2025-10-24,Vancouver,180,360
10267,1696,John Johnson,Smartwatch,1,2024-02-12,Toronto,200,200
10268,1632,James Williams,Bluetooth Speaker,3,2025-09-17,Montreal,150,450
10269,1496,Sophia Brown,External Hard Drive,4,2025-08-15,Calgary,95,380
10270,1257,Linda Wilson,Monitor,2,2024-12-15,Vancouver,300,600
10271,1716,John Smith,Printer,2,2025-10-14,Toronto,180,360
10272,1137,Sophia Brown,Bluetooth Speaker,2,2024-01-30,Vancouver,150,300
10273,1854,David Smith,Mouse,3,2025-03-16,Ottawa,30,90
10274,1521,David Miller,Laptop,3,2025-06-25,Calgary,850,2550
10275,442,Sophia Brown,Bluetooth Speaker,3,2025-03-30,Vancouver,150,450
10276,564,Alex Taylor,External Hard Drive,2,2025-09-02,Calgary,95,190
10277,1292,Daniel Williams,Laptop,4,2024-04-03,Ottawa,850,3400
10278,1534,Sarah Davis,External Hard Drive,4,2025-12-23,Ottawa,95,380
10279,1831,Mary Garcia,Monitor,3,2024-10-21,Toronto,300,900
10280,1410,Linda Brown,Keyboard,4,2025-07-02,Montreal,45,180
10281,1411,Daniel Jones,Bluetooth Speaker,2,2024-03-29,Toronto,150,300
10282,1137,Sophia Davis,Laptop,3,2025-05-17,Calgary,850,2550
10283,1637,Sophia Davis,Monitor,3,2024-08-01,Toronto,300,900
10284,1649,Alex Johnson,External Hard Drive,2,2025-02-25,Vancouver,95,190
10285,952,James Brown,Bluetooth Speaker,3,2025-06-09,Toronto,150,450
10286,1105,Alex Johnson,Monitor,2,2024-07-10,Montreal,300,600
10287,699,Sarah Garcia,External Hard Drive,3,2025-11-24,Montreal,95,285
10288,113,John Smith,Keyboard,4,2025-10-03,Calgary,45,180
10289,2,David Jones,Keyboard,3,2024-08-11,Ottawa,45,135
10290,642,John Miller,Smartphone,3,2025-07-08,Montreal,600,1800
10291,220,John Jones,Headphones,3,2025-11-23,Calgary,120,360
10292,1590,Daniel Jones,Monitor,1,2025-01-21,Montreal,300,300
10293,855,Linda Garcia,Headphones,4,2025-11-11,Montreal,120,480
10294,1760,John Johnson,Smartphone,2,2025-04-18,Ottawa,600,1200
10295,1249,Daniel Brown,Smartwatch,1,2025-08-30,Vancouver,200,200
10296,385,Linda Jones,Bluetooth Speaker,4,2024-07-21,Calgary,150,600
10297,1427,Mary Davis,External Hard Drive,3,2025-03-22,Montreal,95,285
10298,1662,Sarah Smith,Printer,3,2024-03-08,Montreal,180,540
10299,1154,Sarah Miller,Headphones,2,2024-04-01,Toronto,120,240
10300,1077,James Davis,Headphones,2,2024-06-26,Vancouver,120,240
10301,1708,James Brown,Monitor,4,2025-10-24,Ottawa,300,1200
10302,730,Linda Garcia,Bluetooth Speaker,4,2025-07-12,Calgary,150,600
10303,1696,Sarah Garcia,Monitor,2,2024-01-03,Montreal,300,600
10304,1734,Mary Taylor,Keyboard,4,2024-04-12,Calgary,45,180
10305,1440,Daniel Wilson,Headphones,2,2024-09-29,Ottawa,120,240
10306,247,Sophia Taylor,Bluetooth Speaker,3,2025-06-17,Vancouver,150,450
10307,836,Emma Smith,Mouse,2,2024-04-25,Toronto,30,60
10308,1463,Mary Miller,Smartwatch,1,2025-04-08,Vancouver,200,200
10309,203,Emma Jones,External Hard Drive,2,2024-04-13,Toronto,95,190
10310,1208,Daniel Jones,Smartphone,2,2024-09-15,Calgary,600,1200
10311,123,Mary Taylor,Smartwatch,1,2024-11-03,Vancouver,200,200
10312,401,Sarah Wilson,Smartphone,1,2025-01-01,Vancouver,600,600
10313,767,John Smith,Headphones,1,2025-10-03,Vancouver,120,120
10314,294,James Brown,Smartwatch,1,2024-10-28,Ottawa,200,200
10315,280,Emma Johnson,Smartwatch,2,2025-07-13,Calgary,200,400
10316,1861,Daniel Brown,External Hard Drive,4,2024-01-27,Toronto,95,380
10317,884,Mary Garcia,Printer,1,2025-05-22,Vancouver,180,180
10318,1634,Emma Miller,External Hard Drive,3,2025-06-10,Calgary,95,285
10319,198,Linda Taylor,Monitor,2,2024-12-30,Ottawa,300,600
10320,982,James Davis,Printer,4,2024-10-24,Ottawa,180,720
10321,1931,Linda Williams,Smartwatch,3,2024-12-26,Calgary,200,600
10322,1535,Daniel Miller,Printer,2,2025-10-07,Toronto,180,360
10323,752,Sarah Brown,Printer,2,2025-05-18,Calgary,180,360
10324,144,Sarah Brown,Monitor,3,2025-08-10,Calgary,300,900
10325,609,Mary Jones,Bluetooth Speaker,1,2024-01-30,Montreal,150,150
10326,1225,Mary Miller,Headphones,1,2025-03-14,Ottawa,120,120
10327,1148,Alex Miller,Bluetooth Speaker,3,2024-12-05,Toronto,150,450
10328,187,Emma Wilson,Headphones,4,2024-05-05,Montreal,120,480
10329,1350,John Miller,Bluetooth Speaker,1,2025-08-18,Calgary,150,150
10330,464,Daniel Williams,Bluetooth Speaker,2,2025-07-19,Ottawa,150,300
10331,1373,Mary Williams,Smartphone,2,2024-12-31,Montreal,600,1200
10332,1795,John Brown,Printer,4,2025-03-18,Montreal,180,720
10333,660,Emma Wilson,Keyboard,2,2024-09-19,Toronto,45,90
10334,764,Emma Jones,Monitor,1,2024-08-09,Calgary,300,300
10335,955,Linda Brown,Bluetooth Speaker,4,2024-01-02,Toronto,150,600
10336,1956,David Garcia,Smartwatch,1,2025-01-28,Montreal,200,200
10337,403,Linda Williams,Mouse,4,2024-11-01,Montreal,30,120
10338,1370,Mary Wilson,Smartphone,3,2024-05-25,Toronto,600,1800
10339,1987,John Smith,Mouse,2,2025-06-13,Montreal,30,60
10340,1535,Sarah Davis,Laptop,4,2025-06-11,Vancouver,850,3400
10341,147,John Wilson,External Hard Drive,3,2024-11-03,Ottawa,95,285
10342,1172,Sarah Brown,Laptop,1,2025-11-01,Calgary,850,850
10343,864,John Taylor,Headphones,3,2024-12-05,Ottawa,120,360
10344,1735,Sarah Wilson,Bluetooth Speaker,1,2024-12-17,Calgary,150,150
10345,1844,Emma Miller,Monitor,4,2024-07-27,Montreal,300,1200
10346,489,Linda Smith,Smartwatch,4,2024-07-23,Toronto,200,800
10347,929,Emma Johnson,Keyboard,2,2025-09-16,Toronto,45,90
10348,1960,Linda Johnson,Keyboard,2,2025-11-20,Montreal,45,90
10349,1664,Alex Williams,Smartphone,4,2025-12-21,Calgary,600,2400
10350,551,David Wilson,Smartphone,1,2025-09-27,Montreal,600,600
10351,338,Sarah Wilson,Smartphone,1,2024-01-15,Calgary,600,600
10352,872,Emma Brown,Smartphone,4,2025-03-03,Montreal,600,2400
10353,641,Sophia Smith,Printer,1,2025-04-20,Montreal,180,180
10354,1803,Daniel Wilson,Bluetooth Speaker,4,2024-10-24,Montreal,150,600
10355,1977,Emma Johnson,Mouse,2,2025-07-10,Toronto,30,60
10356,473,Sarah Garcia,Bluetooth Speaker,1,2024-04-03,Calgary,150,150
10357,1970,James Smith,Bluetooth Speaker,2,2024-04-16,Montreal,150,300
10358,151,David Davis,Laptop,3,2025-02-22,Ottawa,850,2550
10359,1439,Sarah Smith,Monitor,2,2024-10-04,Ottawa,300,600
10360,1322,Daniel Jones,Smartwatch,3,2024-05-07,Toronto,200,600
10361,1635,Mary Garcia,Headphones,2,2025-04-03,Vancouver,120,240
10362,263,Mary Brown,Monitor,2,2024-02-07,Toronto,300,600
10363,1788,Emma Smith,Smartphone,1,2025-08-31,Vancouver,600,600
10364,144,Mary Davis,Mouse,2,2024-07-16,Toronto,30,60
10365,346,Emma Johnson,Laptop,4,2025-12-04,Ottawa,850,3400
10366,624,Linda Brown,Printer,1,2024-12-22,Montreal,180,180
10367,1017,Sarah Garcia,Mouse,1,2024-01-07,Calgary,30,30
10368,1596,Alex Taylor,Laptop,1,2025-07-09,Montreal,850,850
10369,881,Linda Smith,External Hard Drive,2,2024-11-27,Ottawa,95,190
10370,2,James Garcia,Printer,1,2025-06-02,Calgary,180,180
10371,897,Sophia Brown,Smartphone,3,2024-07-12,Vancouver,600,1800
